Price Increase,Family Price,Ind Price,Family Churn,Ind Churn,Family Rev Index,Individual Rev Index,Ind Risk Index,Total Rev Index,Churn Increase,Churn Penalty,Performance Score,Ind Risk Premium
+5%,24.14,14.69,16.41,24.75,12.133,4.4077,1.4494,16.5406,0.1603,0.1603,16.2544,0.2597
+10%,25.29,15.39,16.5,25.01,12.6964,4.6016,1.5343,17.298,0.3207,0.3207,16.7231,0.5194
+17%,26.9,16.37,16.8,25.79,13.4559,4.8435,1.683,18.2994,0.8122,0.8122,16.8499,1.3009
+22%,28.05,17.07,17.05,26.44,13.9885,5.006,1.7994,18.9945,1.2239,1.2239,16.8082,1.9539
+28%,29.43,17.91,17.39,27.32,14.6164,5.1896,1.9505,19.806,1.7776,1.7776,16.6231,2.8309
