Scenario,Family_Price,Ind_Price,Family_Churn,Ind_Churn,Total_Rev_Index,Revenue_Change_Pct,Distance_to_Critical,Risk_Level,Recommendation
Current,22.99,13.99,0.1739,24.486301369863014,1.0,0.0,3.513698630136986,SAFE,RECOMMENDED ✅
Family +17%,25.29,13.99,16.5,24.486301369863014,17.298,1629.7999999999997,3.513698630136986,SAFE,RECOMMENDED ✅
Both +17%,26.9,16.37,16.8,25.79,18.2994,1729.9399999999998,2.210000000000001,RISKY,PROCEED WITH CAUTION ⚠️
Both +22%,28.05,17.07,17.05,26.44,18.9945,1799.4499999999998,1.5599999999999987,DANGER,NOT RECOMMENDED ❌
Both +28%,29.43,17.07,17.05,26.44,18.9945,1799.4499999999998,1.5599999999999987,DANGER,NOT RECOMMENDED ❌
