Scenario,Family_Price,Ind_Price,Family_Churn,Ind_Churn,Total_Rev_Index,Revenue_Change_Pct,Distance_to_Critical,Risk_Level,Recommendation
Current,22.99,13.99,16.313398940196823,24.48630136986301,1.0,0.0,3.513698630136986,SAFE,Baseline
Family +17%,25.29,13.99,16.5,24.48630136986301,17.298,1629.7999999999995,3.513698630136986,SAFE,Family +17% : RECOMMENDED
Both +17%,26.9,16.37,16.8,25.79,18.2994,1729.9399999999998,2.210000000000001,RISKY,Both +17% : NOT RECOMMENDED
Both +28%,29.43,17.91,17.39,27.32,19.806,1880.6,0.6799999999999997,DANGER,Both +28% : VERY RISKY
